epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,3880.26,0.74951,0.58667,1.0536,0.88667,0.79018,0.8567,0.53761,1.28385,0.68087,1.41867,0.000412406,0.000412406,0.000412406
66,3939.83,0.74398,0.58004,1.05406,0.89746,0.78183,0.85416,0.54706,1.20267,0.69973,1.39156,0.000407694,0.000407694,0.000407694
67,3999.02,0.73907,0.57875,1.04709,0.89434,0.78129,0.85893,0.54636,1.29416,0.68235,1.44931,0.000402982,0.000402982,0.000402982
68,4058.03,0.73182,0.57092,1.04983,0.90087,0.79229,0.86398,0.55942,1.2248,0.71522,1.3873,0.000398269,0.000398269,0.000398269
69,4117.12,0.73461,0.57229,1.0494,0.87944,0.80105,0.85571,0.55643,1.22327,0.71504,1.42646,0.000393557,0.000393557,0.000393557
70,4176.11,0.71909,0.55911,1.03795,0.91064,0.80025,0.86411,0.55914,1.22055,0.67777,1.38172,0.000388844,0.000388844,0.000388844
71,4235.05,0.71943,0.56053,1.03924,0.91466,0.79125,0.86975,0.56085,1.22756,0.69547,1.40259,0.000384132,0.000384132,0.000384132
72,4294.03,0.72097,0.55734,1.04117,0.90346,0.79341,0.85857,0.56783,1.15822,0.71555,1.38054,0.00037942,0.00037942,0.00037942
73,4353.05,0.72565,0.56098,1.04034,0.89362,0.79051,0.86207,0.55853,1.1967,0.73447,1.38431,0.000374707,0.000374707,0.000374707
74,4412.1,0.71589,0.5541,1.03468,0.91927,0.79429,0.86541,0.56229,1.19412,0.70342,1.38014,0.000369995,0.000369995,0.000369995
75,4471.13,0.71934,0.54729,1.03337,0.90211,0.81628,0.86347,0.57482,1.15801,0.69284,1.3664,0.000365282,0.000365282,0.000365282
76,4530.12,0.70386,0.54093,1.03434,0.92186,0.79257,0.86111,0.57859,1.1399,0.69611,1.33883,0.00036057,0.00036057,0.00036057
77,4589.28,0.70793,0.54362,1.02982,0.89814,0.81116,0.86758,0.57878,1.1555,0.69697,1.36556,0.000355858,0.000355858,0.000355858
78,4648.26,0.70438,0.5462,1.03361,0.89434,0.80309,0.85736,0.56067,1.17396,0.69134,1.39229,0.000351145,0.000351145,0.000351145
79,4707.15,0.70325,0.53667,1.02734,0.91561,0.80103,0.87369,0.581,1.13389,0.65304,1.33502,0.000346433,0.000346433,0.000346433
80,4766.06,0.69857,0.53518,1.02671,0.90649,0.8184,0.87432,0.57848,1.1557,0.67658,1.38961,0.00034172,0.00034172,0.00034172
81,4825.1,0.68842,0.53243,1.0243,0.90494,0.79819,0.86963,0.57921,1.13702,0.65183,1.3437,0.000337008,0.000337008,0.000337008
82,4884.22,0.70165,0.53401,1.02498,0.87176,0.83107,0.86955,0.57852,1.11101,0.64963,1.32551,0.000332296,0.000332296,0.000332296
83,4943.18,0.68856,0.52602,1.01949,0.90052,0.81137,0.87532,0.57598,1.17792,0.65251,1.37178,0.000327583,0.000327583,0.000327583
84,5002.13,0.68383,0.52496,1.01962,0.89085,0.81236,0.87282,0.57142,1.20544,0.67162,1.38832,0.000322871,0.000322871,0.000322871
85,5061,0.68753,0.52307,1.01934,0.88522,0.8227,0.87383,0.56997,1.20821,0.66872,1.39286,0.000318158,0.000318158,0.000318158
86,5119.82,0.69476,0.5203,1.01922,0.9061,0.82108,0.87825,0.5815,1.13839,0.64294,1.34247,0.000313446,0.000313446,0.000313446
87,5178.77,0.67613,0.51776,1.01738,0.89982,0.80212,0.8746,0.5762,1.16396,0.63581,1.34613,0.000308734,0.000308734,0.000308734
88,5237.89,0.6773,0.5137,1.00888,0.91749,0.79663,0.87586,0.5802,1.13753,0.63519,1.35431,0.000304021,0.000304021,0.000304021
89,5297.07,0.67781,0.51199,1.01244,0.92276,0.81359,0.87732,0.58112,1.15744,0.66948,1.36051,0.000299309,0.000299309,0.000299309
90,5356.08,0.67511,0.51188,1.01048,0.93676,0.80193,0.87503,0.58008,1.16451,0.62341,1.35975,0.000294596,0.000294596,0.000294596
91,5415.01,0.66976,0.50581,1.01283,0.92256,0.82533,0.87826,0.58527,1.15171,0.65203,1.36219,0.000289884,0.000289884,0.000289884
92,5473.89,0.6747,0.50887,1.0132,0.91872,0.82569,0.87608,0.58903,1.14248,0.64125,1.33305,0.000285172,0.000285172,0.000285172
93,5533.01,0.66145,0.49951,1.00274,0.92289,0.80389,0.86905,0.59133,1.14159,0.64999,1.3598,0.000280459,0.000280459,0.000280459
94,5592.01,0.66544,0.50206,1.00796,0.92269,0.81009,0.87548,0.58014,1.17781,0.6421,1.39099,0.000275747,0.000275747,0.000275747
